date,admissions,discharges,hosp,rea,hosp_rel,icu_rate
2020-03-18,1034,816,2972,771,0.08880654993127353,0.11014285714285714
2020-03-19,2608,1180,4073,1002,0.12170561166557103,0.14314285714285716
2020-03-20,3190,1587,5226,1297,0.15615848921293252,0.18528571428571428
2020-03-21,3010,1811,5900,1453,0.17629833263610828,0.20757142857142857
2020-03-22,3803,2117,6954,1674,0.20779298392398254,0.23914285714285713
2020-03-23,5146,2567,8673,2080,0.2591585489750792,0.29714285714285715
2020-03-24,5871,3281,10163,2503,0.3036813482340286,0.3575714285714286
2020-03-25,7382,4085,12072,2935,0.36072431721747444,0.41928571428571426
2020-03-26,8450,4947,13879,3351,0.41471941672144863,0.4787142857142857
2020-03-27,9515,5698,15701,3758,0.4691627323253451,0.5368571428571428
2020-03-28,10817,6624,17580,4236,0.5253092691089464,0.6051428571428571
2020-03-29,11468,7131,19311,4592,0.5770334070399809,0.656
2020-03-30,12582,7923,20946,5056,0.6258889619315126,0.7222857142857143
2020-03-31,14692,9443,22672,5496,0.6774636944959063,0.7851428571428571
2020-04-01,16837,10934,24543,5940,0.7333711826928824,0.8485714285714285
2020-04-02,18518,12427,26131,6305,0.7808223271379908,0.9007142857142857
2020-04-03,20269,14007,27302,6556,0.8158130640052591,0.9365714285714286
2020-04-04,21670,15437,28003,6723,0.836759696408295,0.9604285714285714
2020-04-05,22815,16182,28747,6859,0.8589912149644415,0.9798571428571429
2020-04-06,24565,17249,29569,6948,0.8835534572401841,0.9925714285714285
2020-04-07,26729,19336,29871,7004,0.8925775413852866,1.0
2020-04-08,29231,21253,30217,7019,0.9029163927568278,1.0
2020-04-09,31640,23205,30608,6937,0.914599892428136,0.991
2020-04-10,34029,24931,31108,6875,0.929540429092213,0.9821428571428571
2020-04-11,35384,26390,31159,6752,0.9310643638319488,0.9645714285714285
2020-04-12,36944,27185,31665,6714,0.9461841869359947,0.9591428571428572
2020-04-13,37592,27717,31952,6690,0.9547600549811749,0.9557142857142857
2020-04-14,39112,28804,32131,6599,0.9601087671069145,0.9427142857142857
2020-04-15,41087,30952,31623,6331,0.9449291818562123,0.9044285714285715
2020-04-16,43408,32806,31172,6139,0.9314528177852148,0.877
2020-04-17,45773,34414,31061,5922,0.9281360186457898,0.846
2020-04-18,47265,35977,30515,5733,0.9118209526086177,0.819
2020-04-19,48604,36572,30486,5644,0.9109544014821013,0.8062857142857143
2020-04-20,49884,37403,30462,5584,0.9102372557222256,0.7977142857142857
2020-04-21,51589,39175,29984,5334,0.895954102671368,0.762
2020-04-22,53519,40651,29627,5127,0.885286559493217,0.7324285714285714
2020-04-23,55104,42082,29113,4967,0.8699276878025458,0.7095714285714285
2020-04-24,56768,43486,28554,4785,0.8532241678121079,0.6835714285714286
2020-04-25,58191,44587,28119,4641,0.8402259009143609,0.663
2020-04-26,59082,44896,28114,4598,0.8400764955477201,0.6568571428571428
2020-04-27,59832,45506,27954,4526,0.8352955238152154,0.6465714285714286
2020-04-28,60651,46322,27607,4392,0.824926791370346,0.6274285714285714
2020-04-29,62391,48221,26736,4128,0.7989003765015239,0.5897142857142857
2020-04-30,64156,49469,26192,3947,0.7826450726110082,0.5638571428571428
2020-05-01,65171,50204,25809,3819,0.7712006215263252,0.5455714285714286
2020-05-02,65964,50554,25751,3770,0.7694675192732923,0.5385714285714286
2020-05-03,66328,50776,25739,3762,0.7691089463933545,0.5374285714285715
2020-05-04,66903,51363,25472,3639,0.7611306998147374,0.5198571428571429
2020-05-05,67998,52728,24701,3375,0.7380923922787307,0.48214285714285715
2020-05-06,69392,53963,23912,3095,0.7145162254228172,0.4421428571428571
2020-05-07,70612,55018,23139,2911,0.6914181557401542,0.41585714285714287
2020-05-08,71769,55773,22657,2820,0.677015478395984,0.40285714285714286
2020-05-09,72473,56029,22547,2764,0.673728560329887,0.39485714285714285
2020-05-10,72786,56208,22502,2728,0.6723839120301202,0.38971428571428574
2020-05-11,73233,56715,22219,2666,0.6639275682782525,0.38085714285714284
2020-05-12,74071,57776,21530,2496,0.6433395087551544,0.3565714285714286
2020-05-13,75225,58664,21009,2385,0.6277714695511862,0.3407142857142857
2020-05-14,76193,59596,20401,2256,0.6096037769676687,0.3222857142857143
2020-05-15,77162,60439,19801,2162,0.5916751329707763,0.30885714285714283
2020-05-16,78021,61057,19372,2091,0.5788561525129983,0.2987142857142857
2020-05-17,78581,61204,19302,2047,0.5767644773800275,0.2924285714285714
2020-05-18,78943,61719,18956,1958,0.5664256260084862,0.2797142857142857
2020-05-19,79702,62554,18409,1854,0.5500806788979861,0.26485714285714285
2020-05-20,80611,63345,17882,1754,0.5343333532540488,0.25057142857142856
2020-05-21,81345,63849,17527,1708,0.5237255722225542,0.244
2020-05-22,81925,64200,17327,1664,0.5177493575569234,0.2377142857142857
2020-05-23,82301,64538,17122,1628,0.5116237375246518,0.23257142857142857
2020-05-24,82618,64608,17129,1618,0.511832905037949,0.23114285714285715
2020-05-25,82896,65190,16742,1572,0.5002689296599534,0.22457142857142856
2020-05-26,83512,65870,16209,1519,0.48434231757604734,0.217
2020-05-27,84233,66575,15627,1467,0.4669515328990617,0.20957142857142858
2020-05-28,85016,67182,15155,1395,0.4528476662881731,0.1992857142857143
2020-05-29,85649,67794,14643,1328,0.43754855674415827,0.18971428571428572
2020-05-30,86369,68259,14329,1293,0.4281658997191179,0.18471428571428572
2020-05-31,86743,68346,14271,1287,0.426432797466085,0.18385714285714286
2020-06-01,86883,68431,14237,1270,0.42541684097292776,0.18142857142857144
2020-06-02,87114,68803,13978,1221,0.41767764298093585,0.17442857142857143
2020-06-03,87584,69446,13465,1179,0.4023486523635929,0.16842857142857143
2020-06-04,88251,69967,13054,1133,0.39006753122572163,0.16185714285714287
2020-06-05,88831,70494,12650,1065,0.37799557760114744,0.15214285714285714
2020-06-06,89351,70796,12433,1030,0.371511384688938,0.14714285714285713
2020-06-07,89599,70832,12415,1024,0.3709735253690313,0.1462857142857143
2020-06-08,89745,71052,12269,995,0.3666108886631208,0.14214285714285715
2020-06-09,90034,71496,11915,926,0.35603298870495426,0.13228571428571428
2020-06-10,90454,71822,11632,904,0.3475766449530867,0.12914285714285714
2020-06-11,90869,72139,11420,875,0.34124185740751806,0.125
2020-06-12,91191,72562,11079,851,0.3310524114026176,0.12157142857142857
2020-06-13,91577,72798,10864,843,0.3246279806370645,0.12042857142857143
2020-06-14,91824,72849,10836,841,0.32379131058387617,0.12014285714285715
2020-06-15,91937,73034,10707,818,0.3199366521245443,0.11685714285714285
2020-06-16,92178,73325,10490,792,0.3134524592123349,0.11314285714285714
2020-06-17,92487,73657,10222,744,0.30544433156038964,0.10628571428571429
2020-06-18,92861,73877,10080,724,0.3012012191477918,0.10342857142857143
2020-06-19,93092,74107,9925,699,0.29656965278192793,0.09985714285714285
2020-06-20,93325,74302,9792,687,0.29259547002928343,0.09814285714285714
2020-06-21,93511,74362,9778,687,0.29217713500268927,0.09814285714285714
2020-06-22,93658,74602,9648,673,0.2882925954700293,0.09614285714285714
2020-06-23,93871,74861,9446,654,0.2822566186577422,0.09342857142857143
2020-06-24,94148,75117,9254,630,0.2765194525787366,0.09
2020-06-25,94427,75341,9096,623,0.2717982429928883,0.089
2020-06-26,94654,75639,8841,606,0.264178569294209,0.08657142857142858
2020-06-27,94962,75803,8715,594,0.26041355405486166,0.08485714285714285
2020-06-28,95132,75833,8727,594,0.2607721269347995,0.08485714285714285
2020-06-29,95210,75989,8643,591,0.2582621167752346,0.08442857142857142
2020-06-30,95438,76264,8491,574,0.25372019362935516,0.082
2020-07-01,95683,76539,8291,554,0.24774397896372438,0.07914285714285714
2020-07-02,95962,76792,8103,545,0.24212633717803145,0.07785714285714286
2020-07-03,96268,77049,7946,533,0.23743500866551126,0.07614285714285714
2020-07-04,96465,77160,7863,517,0.2349548795792745,0.07385714285714286
2020-07-05,96569,77179,7863,521,0.2349548795792745,0.07442857142857143
2020-07-06,96654,77308,7806,521,0.2332516583995697,0.07442857142857143
